realClass,\histAge,\histAgePerReview,\histReviewsPerUser,\histDiscussionCount,\histIPCount,\histReviewCount,\histUserCount,\histModifiedLinesRate,\histOccasionalUsersReviewsRate,\histLastThreeMonthsReviewsRate,\histMostActiveUsersReviewsRate,\histStdReviewsPerUser,\histReviewsPerDay,\histProbReview,\ari,\flesch,\coleman,\kincaid,\fog,\smog,\li,\numPerguntas,\numPassiveVoice,\porcMenoresFrases,\porcMaioresFrases,\porcConjucoes,\numAuxiliarVerb,\inicioArtigo,\inicioPronome,\inicioConjuncaoSubordinadas,\inicioConjuncao,\porcSubstantivacao,\porcPreposicao,\inicioPronomeInterrogativo,\inicioPreposicoes,\wordCount,\sentenceCount,\porcToBe,\numPronomes,\netAssortativityInOut,\netAssortativityOutIn,\charCount,\netAssortativityInIn,\netInDegree,\netOutDegree,\netAssortativityOutOut,\netClusteringCoefficient,\netLinkCount,\netTranslationCount,\netReciprocity,\netPageRank,\CitPerTLen,\ImagesPerSec,\numCitations,\CitPerSec,\minSLen,\maxSLen,\stdSLen,\minAbsLen,\XLinksPerSec,\ssCount,\sCount,\numExtLink,\tamMaiorFrase,\avgSLen,\meanSubsectionPerSection,\LinksPerTLen,\avgPLen,id
'ST',767.0,0.16,5.4,2.0,0.0,27.0,27.0,95.12,11.11,100.0,74.07,8.26,0.0352,6.95795E-10,15.2,44.1,14.6,12.7,15.1,13.2,53.1,0.0,6.0,0.4375,0.25,0.0334,1.0,1.0,0.0,0.0,0.0,0.0334,0.1031,0.0,2.0,359.0,16.0,0.0251,3.0,0.0,0.0,3684.0,0.0,3.0,19.0,0.03,0.22381,19.0,0.0,0.05263,0.1281,736.8,0.4,5.0,1.0,15.0,1464.0,113.08,1467.0,0.8,0.0,5.0,4.0,54.0,736.8,0.0,193.8947,71.8,13930090
'SB',1194.0,16.74,5.33,2.0,2.0,18.0,16.0,3.7,11.11,5.56,77.78,7.51,0.0151,3.99367E-9,15.8,55.1,11.1,13.0,15.9,12.5,48.8,0.0,2.0,0.3333,0.3333,0.0337,0.0,1.0,0.0,0.0,0.0,0.0,0.2022,0.0,1.0,89.0,3.0,0.0225,1.0,0.02,0.0,942.0,0.0,4.0,14.0,0.06,0.17143,17.0,2.0,0.21429,0.1318,0.0,1.0,0.0,0.0,224.0,526.0,158.39,527.0,1.0,0.0,1.0,1.0,43.0,942.0,0.0,55.4118,89.0,6680774
'ST',1189.0,42.26,1.0,2.0,0.0,7.0,7.0,4.42,100.0,28.57,14.29,0.0,0.0059,2.21194E-11,8.8,67.9,11.1,7.3,10.9,10.4,37.9,0.0,1.0,0.75,0.15,0.0214,0.0,0.0,0.0,1.0,0.0,0.0178,0.0427,0.0,0.0,281.0,20.0,0.0036,1.0,0.68,0.04,4093.0,0.03,92.0,111.0,0.82,0.75182,114.0,9.0,0.8018,0.4587,4093.0,0.0,1.0,0.5,287.0,2125.0,165.7,992.0,0.0,0.0,2.0,0.0,133.0,2046.5,0.0,35.9035,56.2,6771135
'AC',996.0,1.52,10.65,46.0,12.0,225.0,213.0,0.0,7.11,0.0,43.11,26.09,0.2259,1.53743E-6,23.3,39.2,11.4,18.9,21.6,14.2,70.2,0.0,47.0,0.6071,0.25,0.0541,12.0,14.0,3.0,0.0,0.0,0.0075,0.1157,1.0,3.0,3752.0,84.0,0.0301,99.0,0.35,0.28,31316.0,0.09,37.0,118.0,1.13,0.09552,141.0,0.0,0.28814,2.8523,745619,1.4444,42.0,4.6667,10.0,5708.0,151.18,1314.0,1.0,9.0,9.0,9.0,185.0,3479.5557,1.0,222.0993,156.3333,9984560
'SB',1722.0,164.67,1.5,1.0,0.0,6.0,6.0,0.0,100.0,0.0,50.0,1.0,0.0035,2.16536E-10,10.2,57.2,14.1,8.0,8.0,8.5,51.9,0.0,2.0,0.0,0.0,0.0455,0.0,0.0,1.0,0.0,0.0,0.0,0.2273,0.0,0.0,22.0,2.0,0.0909,1.0,0.01,0.0,458.0,0.0,2.0,7.0,0.03,0.36111,8.0,0.0,0.0,0.0863,0.0,0.0,0.0,0.0,66.0,147.0,46.67,150.0,0.0,0.0,1.0,0.0,12.0,458.0,0.0,57.25,11.0,1606901
'GA',966.0,4.09,7.78,8.0,1.0,71.0,70.0,17.39,18.31,11.27,80.28,18.48,0.0735,1.45148E-7,18.2,37.6,13.6,15.6,20.0,16.4,63.3,1.0,20.0,0.6087,0.2174,0.0378,10.0,6.0,2.0,1.0,0.0,0.0157,0.1354,2.0,2.0,1403.0,46.0,0.0342,28.0,0.07,0.01,11469.0,0.0,20.0,73.0,0.24,0.14719,74.0,0.0,0.19178,1.8259,882.2308,0.4286,13.0,1.8571,99.0,2257.0,33.0,333.0,1.5714,1.0,7.0,11.0,156.0,1638.4286,0.1429,154.9865,350.75,10575816
'GA',1344.0,0.43,8.36,49.0,11.0,287.0,276.0,89.38,12.89,88.15,74.91,33.55,0.2135,3.92468E-7,19.5,47.1,10.9,16.1,19.3,13.9,62.5,0.0,44.0,0.6032,254,0.0431,23.0,16.0,14.0,2.0,0.0,0.0151,149,0.0,4.0,2389.0,63.0,0.0373,115.0,0.03,0.01,28079.0,0.0,13.0,65.0,0.16,0.13143,66.0,0.0,0.06154,0.3906,584.9792,0.6,48.0,9.6,249.0,3263.0,83.0,1021.0,0.0,3.0,5.0,0.0,202.0,5615.8,0.6,425.4394,217.1818,4538300
'AC',2298.0,3.56,1.84,26.0,103.0,261.0,158.0,9.63,38.7,10.34,21.84,3.89,0.1136,1.45E-5,14.1,51.9,13.0,11.7,14.8,12.9,49.1,0.0,52.0,0.4176,0.0989,0.0515,33.0,16.0,21.0,4.0,0.0,0.0135,129,0.0,14.0,2077.0,91.0,0.0342,88.0,0.2,0.02,18624.0,0.01,36.0,107.0,0.59,0.03233,127.0,11.0,0.1028,2253,1693091,375,11.0,1375,15.0,3561.0,324.13,1715.0,875,1.0,8.0,7.0,64.0,2328.0,125,146.6457,83.08,297924
'GA',2835.0,1.36,3.27,220.0,420.0,1341.0,921.0,6.62,22.97,4.62,34.0,12.37,473,2.73769E-4,23.0,42.8,10.8,18.5,21.6,13.9,67.3,0.0,79.0,0.6429,0.2571,0.0452,28.0,13.0,18.0,10.0,2.0,0.0076,0.1303,4.0,21.0,6322.0,140.0,0.0236,397.0,2.04,0.2,71284.0,0.26,550.0,408.0,1.51,0.07201,419.0,8.0,0.40931,3.1383,720.0404,0.7778,99.0,11.0,12.0,5856.0,283.79,2809.0,0.3333,8.0,9.0,3.0,434.0,7920.4443,0.8889,170.1289,210.7333,31586
'GA',1706.0,3.02,7.26,60.0,56.0,361.0,305.0,19.13,15.24,4.43,62.6,26.34,0.2116,3.61551E-6,14.8,53.1,10.8,12.9,15.9,12.9,50.6,1.0,85.0,0.4803,0.2205,0.0495,15.0,37.0,16.0,3.0,0.0,0.0153,126,7.0,13.0,3594.0,127.0,0.0387,203.0,0.24,0.03,29379.0,0.01,56.0,134.0,0.57,0.16106,137.0,5.0,0.38806,3.5007,1728.1765,0.5714,17.0,2.4286,18.0,4481.0,196.44,1877.0,0.4286,6.0,7.0,3.0,90.0,4197.0,0.8571,214.4453,179.7,1672901
'FA',2835.0,1.21,5.15,193.0,617.0,2044.0,1427.0,3.96,15.8,3.86,48.48,40.99,721,0.00145995,22.4,32.1,12.7,18.9,22.6,16.9,70.5,0.0,129.0,0.5982,0.2545,0.0477,48.0,16.0,25.0,7.0,0.0,17,0.1184,0.0,24.0,9160.0,224.0,23,496.0,2.66,0.42,97852.0,0.58,396.0,286.0,1.92,0.06133,292.0,35.0,0.56993,4.1764,670.2192,0.9091,146.0,13.2727,15.0,19775.0,368.85,1757.0,5.3636,12.0,11.0,59.0,231.0,8895637,1.0909,335.1096,704.6154,36812
'SB',1248.0,14.0,2.83,1.0,5.0,22.0,17.0,3.03,22.73,4.55,54.55,4.49,0.0176,9.57701E-9,9.3,72.7,8.1,8.3,11.0,9.5,38.0,0.0,12.0,0.3478,0.1304,0.0437,0.0,6.0,3.0,3.0,0.0,0.0062,0.1247,1.0,1.0,481.0,23.0,0.0353,16.0,0.0,0.0,3671.0,0.0,3.0,11.0,0.01,0.14286,20.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.0,23.0,1064.0,130.64,745.0,0.0,2.0,3.0,0.0,49.0,1223.6667,0.6667,183.55,60125,5792526
'ST',1237.0,8.38,1.32,7.0,10.0,39.0,29.0,48.33,74.36,12.82,12.82,0.57,0.0315,3.59944E-8,9.3,72.5,8.1,8.4,11.8,10.4,38.9,0.0,4.0,0.5714,0.2381,0.0318,5.0,2.0,2.0,1.0,0.0,0.0023,0.1136,0.0,1.0,440.0,21.0,0.0136,14.0,0.21,0.09,4340.0,0.05,52.0,98.0,0.4,0.36244,103.0,1.0,0.34694,0.5562,0.0,0.0,0.0,0.0,41.0,1077.0,316.36,155.0,0.5,0.0,6.0,3.0,92.0,723.3333,0.0,42.1359,73.3333,5942892
'GA',1225.0,7.34,2.8,17.0,10.0,52.0,42.0,44.44,38.46,44.23,30.77,3.9,0.0424,3.0073E-8,23.2,30.8,13.1,19.3,22.6,16.5,70.4,0.0,17.0,0.6111,0.2778,0.0492,7.0,3.0,6.0,1.0,0.0,0.0266,0.1356,0.0,0.0,752.0,18.0,0.0559,27.0,0.0,0.0,8679.0,0.0,2.0,46.0,0.1,0.12535,50.0,0.0,0.02174,0.2103,723.25,0.0,12.0,3.0,16.0,2626.0,73.34,650.0,0.5,0.0,4.0,2.0,90.0,2169.75,0.0,173.58,752.0,6104991
'AC',2748.0,1.52,2.12,53.0,423.0,928.0,505.0,10.0,29.53,9.91,16.27,2.86,0.3377,3.46532E-4,18.7,48.6,12.1,15.0,18.3,13.9,58.9,0.0,200.0,0.6218,0.2228,0.0492,74.0,81.0,42.0,10.0,3.0,0.0145,0.1258,4.0,65.0,13202.0,386.0,0.0264,533.0,0.1,0.09,90135.0,0.01,36.0,443.0,1.17,0.07797,468.0,1.0,0.04289,3.05,9013.5,0.5333,10.0,0.6667,15.0,8009.0,178.99,3184.0,0.4,26.0,15.0,6.0,279.0,6009.0,1.7333,192.5962,92.9718,53070
'SB',2074.0,95.17,1.12,1.0,2.0,11.0,9.0,0.0,81.82,0.0,18.18,0.35,0.0053,1.00494E-9,6.2,66.2,8.4,7.2,10.6,10.2,34.3,0.0,3.0,0.25,0.25,0.0196,0.0,1.0,1.0,0.0,0.0,0.0392,0.1569,0.0,1.0,51.0,4.0,0.0784,2.0,0.01,0.01,397.0,0.0,1.0,6.0,0.04,0.13333,11.0,0.0,0.16667,0.0251,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,36.0909,25.5,559066
'ST',2371.0,2.2,2.46,5.0,74.0,273.0,199.0,8.43,37.0,6.59,35.9,6.27,0.1151,2.26999E-6,11.4,61.9,11.4,9.5,12.2,11.1,47.7,0.0,88.0,507,0.1127,0.0527,2.0,45.0,14.0,3.0,0.0,0.0108,0.1412,0.0,22.0,2769.0,142.0,0.0404,61.0,2.5,0.09,21089.0,0.15,372.0,236.0,1.59,0.0241,247.0,27.0,0.33475,4.2782,0.0,0.5,0.0,0.0,12.0,4572.0,248.39,622.0,625,6.0,8.0,5.0,96.0,2636125,0.75,85.3806,115375,240090
'SB',1717.0,63.55,1.25,5.0,3.0,13.0,10.0,0.0,76.92,0.0,23.08,0.71,0.0076,1.62701E-8,15.7,47.8,12.9,13.2,16.5,13.8,55.2,0.0,7.0,0.5,0.2,0.0679,1.0,1.0,5.0,0.0,0.0,0.0151,0.1396,0.0,1.0,265.0,10.0,34,22.0,0.04,0.0,2309.0,0.0,7.0,17.0,0.11,0.02767,19.0,1.0,0.05882,199,0.0,0.0,0.0,0.0,119.0,1899.0,68.7,1910.0,0.0,0.0,2.0,0.0,47.0,1154.5,0.0,121.5263,66.25,1625801
'AC',1719.0,24.06,1.29,8.0,11.0,56.0,45.0,1.65,66.07,10.71,17.86,1.2,0.0326,7.49935E-7,41.8,-1.0,13.0,33.2,36.8,20.1,104.2,0.0,44.0,0.4286,0.4444,0.0672,6.0,6.0,2.0,2.0,0.0,0.0088,0.1255,0.0,13.0,5018.0,63.0,0.0205,111.0,0.19,0.16,35588.0,0.02,42.0,408.0,1.89,0.03489,425.0,0.0,0.06373,7.1542,0.0,0.1667,0.0,0.0,371.0,3342.0,484.21,2921.0,0.0,19.0,6.0,0.0,142.0,5931.3335,3.1667,83.7365,92.9259,1616933
'SB',1672.0,21.46,1.32,2.0,6.0,31.0,25.0,4.11,80.65,3.23,9.68,0.58,0.0185,3.00431E-8,27.4,24.6,13.3,22.3,26.3,18.4,81.5,0.0,6.0,0.7143,0.1429,0.0541,1.0,2.0,2.0,0.0,0.0,0.0142,0.1368,0.0,1.0,351.0,7.0,0.0513,14.0,0.06,0.0,2704.0,0.0,7.0,18.0,0.14,0.08877,23.0,7.0,0.05556,0.0201,0.0,0.0,0.0,0.0,2409.0,2409.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,117.5652,117.0,1835507
'AC',1641.0,10.72,2.21,19.0,21.0,96.0,75.0,2.47,36.46,6.25,25.0,2.86,0.0585,1.89875E-6,18.8,47.2,11.0,15.7,19.5,14.7,61.5,0.0,34.0,0.4565,0.2391,48,9.0,11.0,3.0,0.0,0.0,0.0126,0.1008,0.0,4.0,1666.0,46.0,0.0414,72.0,0.87,0.08,14090.0,0.07,95.0,110.0,1.01,0.16102,115.0,6.0,0.3,1957,828.8235,0.5714,17.0,2.4286,10.0,3245.0,255.27,1559.0,0.4286,0.0,7.0,3.0,126.0,2012857,0.0,122.5217,151.4545,1983354
'ST',1188.0,14.97,1.13,1.0,8.0,25.0,17.0,22.45,68.0,8.0,8.0,0.35,21,2.06594E-7,12.1,50.1,13.1,10.8,13.9,12.5,47.5,0.0,7.0,0.4444,0.2222,0.0183,0.0,4.0,1.0,0.0,0.0,0.0183,0.0915,0.0,0.0,164.0,9.0,0.0549,3.0,0.01,0.0,1587.0,0.0,2.0,8.0,0.03,0.30556,9.0,0.0,125,0.0179,0.0,1.0,0.0,0.0,39.0,1057.0,204.38,1062.0,6.0,2.0,0.0,6.0,41.0,0.0,2.0,176.3333,54.6667,6774627
